Rk,Year,SeasGame,AgeYrs,Tm,Home,Opp,Result,MannSc,OppSc,Start,Cmp,Att,CmpPct,Yds,TD,Int,Rate,Sk
40,2000,8,24,IND,1,DET,W,30,18,1,22,33,66.67,288,3,2,99.1,1
41,2000,9,24,IND,0,CHI,L,24,27,1,26,39,66.67,302,2,1,96.3,2
42,2000,10,24,IND,1,NYJ,W,23,15,1,21,35,60,210,1,0,86.6,0
43,2000,11,24,IND,0,GNB,L,24,26,1,25,44,56.82,294,3,1,90.5,4
44,2000,12,24,IND,1,MIA,L,14,17,1,16,34,47.06,209,2,1,74.3,0
45,2000,13,24,IND,0,NYJ,L,17,27,1,27,51,52.94,339,2,2,70.6,3
46,2000,14,24,IND,1,BUF,W,44,20,1,13,24,54.17,132,0,0,70.1,2
47,2000,15,24,IND,0,MIA,W,20,13,1,21,28,75,206,1,0,107.1,1
48,2000,16,24,IND,1,MIN,W,31,10,1,25,36,69.44,283,4,1,118.2,0
49,2001,1,25,IND,0,NYJ,W,45,24,1,22,32,68.75,231,2,2,84.2,1
50,2001,2,25,IND,1,BUF,W,42,26,1,23,29,79.31,421,4,2,129.6,1
51,2001,3,25,IND,0,NWE,L,13,44,1,20,34,58.82,196,1,3,48.2,2
52,2001,4,25,IND,1,OAK,L,18,23,1,26,41,63.41,241,2,2,75.4,1
53,2001,5,25,IND,1,NWE,L,17,38,1,22,34,64.71,335,1,0,106.9,4
54,2001,6,25,IND,0,KAN,W,35,28,1,19,30,63.33,201,2,0,105,3
55,2001,7,25,IND,0,BUF,W,30,14,1,17,27,62.96,199,1,0,97.6,4
56,2001,8,25,IND,1,MIA,L,24,27,1,20,33,60.61,253,3,2,89.6,3
57,2001,9,25,IND,0,NOR,L,20,34,1,18,28,64.29,262,1,1,91.7,0
58,2001,10,25,IND,1,SFO,L,21,40,1,31,51,60.78,370,1,4,56.8,1
59,2001,11,25,IND,0,BAL,L,27,39,1,27,48,56.25,310,2,1,81.1,3
60,2001,12,25,IND,0,MIA,L,6,41,1,19,32,59.38,173,0,3,35,1
61,2001,13,25,IND,1,ATL,W,41,27,1,23,35,65.71,325,3,1,112.2,0
62,2001,14,25,IND,1,NYJ,L,28,29,1,25,35,71.43,228,1,0,98.3,2
63,2001,15,25,IND,0,STL,L,17,42,1,15,28,53.57,195,0,1,60.9,2
64,2001,16,25,IND,1,DEN,W,29,10,1,16,30,53.33,191,2,1,81.4,1
65,2002,1,26,IND,0,JAX,W,28,25,1,19,31,61.29,211,3,0,113.8,1
66,2002,2,26,IND,1,MIA,L,13,21,1,26,45,57.78,289,1,3,56.6,0
67,2002,3,26,IND,0,HOU,W,23,3,1,21,28,75,272,2,0,128.9,3
68,2002,4,26,IND,1,CIN,W,28,21,1,21,34,61.76,224,2,1,88.4,0
69,2002,5,26,IND,1,BAL,W,22,20,1,30,40,75,284,1,1,92.1,5
70,2002,6,26,IND,0,PIT,L,10,28,1,32,48,66.67,304,1,3,64.9,2
71,2002,7,26,IND,0,WAS,L,21,26,1,21,32,65.63,214,2,2,79.4,3
72,2002,8,26,IND,1,TEN,L,15,23,1,37,50,74,327,2,1,96,3
